English	NHM	SHM	LM	SaP	OlP	TxP	SoZ	ChZ Maria	ChZ Miguel	ChisZ
all	1	2	2	3	4	5	6	7	8	5
ashes	2	2	1	1	2	1	1	1	1	1
bark	1	1	1	1	NA	2	NA	2	2	2
belly	1	5	2	1	3	4	NA	4	4	4
big	1	1	1	1	2	3	1	3	5	1
bird	1	2	2	2	3	2	2	2	2	4
bite	1	1	2	3	4	5	6	NA	6	5
black	1	1	1	2	2	1	1	1	1	1
blood	1	1	1	1	1	1	1	1	1	1
bone	1	1	1	1	1	1	1	1	1	1
breast	1	2	2	3	NA	4	4	NA	5	5
burn tr.	1	8	2	3	3	5	6	7	4	4
claw(nail)	1	1	1	1	1	2	2	2	2	2
cloud	1	5	2	1	1	4	4	NA	1	3
cold	1	1	2	3	4	5	5	6	6	5
come	1	2	2	3	3	2	2	2	2	2
die	1	1	1	1	1	2	2	2	2	2
dog	1	1	1	2	3	5	5	6	6	4
drink	1	1	1	2	2	1	1	1	1	1
dry	1	1	1	1	1	1	1	1	1	1
ear	1	1	1	1	1	1	1	1	1	1
earth	1	1	1	1	1	1	1	1	1	1
eat	1	2	2	2	2	3	3	3	3	3
egg	1	1	1	2	1	4	4	3	3	3
eye	1	1	1	1	1	2	2	3	3	1
fat n.	1	1	2	3	1	NA	5	6	7	4
feather	1	1	2	NA	1	1	1	1	1	1
fire	1	1	NA	1	1	2	2	2	3	2
fish	1	1	1	1	2	3	4	2	2	2
fly v.	1	2	2	2	3	2	2	2	2	4
foot	1	1	1	2	3	5	6	7	7	4
full	1	1	2	3	1	6	6	7	7	5
give	1	3	1	1	1	2	2	2	2	2
good	1	1	1	1	1	2	2	NA	2	1
green	1	1	1	1	1	1	1	1	1	1
hair - 1	1	1	1	NA	NA	1	1	1	1	1
hair - 2	NA	NA	NA	1	1	NA	NA	NA	NA	1
hand	1	1	1	1	1	1	1	1	2	1
head	1	1	1	1	1	1	1	2	1	1
hear	1	1	1	1	1	1	2	1	1	1
heart	1	4	2	NA	2	3	4	3	3	3
horn	1	1	2	1	1	1	NA	NA	3	1
I	1	1	1	1	1	1	1	1	2	1
kill	1	1	1	1	1	2	2	2	2	2
knee	1	1	1	1	1	1	1	2	2	3
know	1	1	2	2	2	3	4	3	3	3
leaf	1	1	1	1	1	1	1	1	1	1
lie	1	2	2	3	4	5	6	7	7	8
liver	1	1	1	1	1	1	1	1	2	2
long	1	1	2	3	4	3	3	5	5	5
louse	1	2	1	2	2	2	2	2	2	2
man	1	1	1	2	3	4	4	4	4	4
many	1	1	1	1	2	4	5	6	6	3
meat	1	1	1	2	1	2	3	2	2	2
moon	1	1	1	1	1	1	1	2	2	1
mountain	1	1	1	1	1	2	2	NA	2	2
mouth	1	1	1	1	1	3	3	3	3	2
name	1	1	1	2	1	2	2	2	2	2
neck	1	1	1	1	NA	2	NA	NA	3	2
new	1	2	2	1	1	2	2	2	2	2
night	2	2	1	1	1	1	1	1	1	1
nose	1	1	1	1	1	2	2	2	2	2
not	1	1	1	1	2	3	4	1	4	4
one	1	1	1	1	1	2	2	2	2	2
person	1	1	1	1	1	2	NA	NA	NA	2
rain	1	1	1	1	1	1	1	1	1	1
red	1	1	1	1	1	1	1	1	1	1
road	1	1	1	1	1	1	1	1	1	1
root	1	1	2	2	2	2	2	3	3	3
round	1	1	1	2	NA	3	3	NA	NA	2
sand	1	1	1	1	1	1	1	3	1	2
say	1	5	2	3	3	4	4	4	4	4
see - 1	1	1	1	1	NA	1	1	1	1	3
see - 2	NA	NA	NA	1	1	NA	NA	NA	NA	NA
seed	1	2	2	3	2	3	2	3	3	3
sit	1	1	2	1	3	5	5	1	1	4
skin	1	1	1	1	1	2	2	2	2	2
sleep	1	1	1	1	1	3	3	3	4	2
small	1	2	2	3	3	4	5	NA	6	3
smoke	1	1	1	2	1	1	1	3	3	1
stand - 1	1	1	1	1	1	2	1	NA	1	1
stand - 2 	NA	NA	NA	NA	NA	NA	NA	1	1	NA
star	1	1	1	1	1	1	1	1	1	1
stone	1	1	1	1	1	1	1	1	1	1
sun	1	1	1	1	1	2	2	2	2	2
swim	1	3	2	3	3	5	5	3	6	4
tail	1	1	2	1	1	1	1	1	1	1
that	1	6	2	3	2	NA	2	NA	5	4
this	1	1	2	1	3	1	4	1	1	1
thou	1	1	1	1	1	1	1	1	1	1
tongue	1	1	1	1	1	NA	1	2	1	1
tooth	1	1	1	1	1	1	1	1	1	1
tree	1	2	1	1	1	1	1	1	1	1
two	1	1	1	1	1	2	2	3	3	1
walk/go - 1	1	1	1	1	2	2	2	NA	2	2
walk/go - 2	NA	NA	NA	NA	NA	NA	NA	1	1	NA
warm	1	1	1	2	3	NA	NA	5	5	4
water	1	1	1	1	1	1	1	1	1	1
we	1	1	1	1	1	1	NA	2	2	3
what	1	1	1	1	1	1	1	1	1	1
white	1	1	1	1	1	1	1	1	1	1
who	1	1	1	1	1	3	4	2	2	2
woman	1	2	2	2	3	4	4	4	4	4
yellow	1	1	1	1	1	1	1	1	1	1
far	1	1	1	2	3	5	5	4	4	4
heavy	1	2	2	3	NA	2	2	1	1	1
near	2	1	1	2	2	3	3	2	2	2
salt	1	1	1	1	1	1	1	1	1	1
short	1	1	1	NA	1	2	2	1	1	1
snake	1	1	1	1	1	1	1	1	1	1
thin	1	1	1	1	2	4	5	1	6	3
wind	1	1	1	2	3	4	4	NA	4	4
worm - 1	1	2	2	3	4	5	5	5	4	NA
worm - 2	NA	NA	NA	NA	NA	1	NA	NA	NA	1
year	1	1	1	2	2	3	3	3	3	3
